mora,atraso,vivienda,edad,dias_lab,exp_sf,nivel_ahorro,ingreso,linea_sf,deuda_sf,score,zona,clasif_sbs,nivel_educ
0,235,FAMILIAR,30,3748,93,5,3500,,0,214,Lima,4,UNIVERSITARIA
0,18,FAMILIAR,32,4598,9,12,900,1824.67,1933.75,175,La Libertad,1,TECNICA
0,0,FAMILIAR,26,5148,8,2,2400,2797.38,188.29,187,Lima,0,UNIVERSITARIA
0,0,FAMILIAR,36,5179,20,12,2700,,0,187,Ancash,0,TECNICA
0,0,FAMILIAR,46,3960,,1,3100,2000,11010.65,189,Lima,0,TECNICA
0,22,FAMILIAR,25,4874,9,12,2200,449.92,496.58,220,Lima,0,UNIVERSITARIA
0,9,FAMILIAR,30,3930,12,8,2100,4827.64,850.21,193,Lima,0,UNIVERSITARIA
0,8,PROPIA,55,4995,23,12,5593.21,10467,18620.8,199,Piura,0,TECNICA
0,2,FAMILIAR,30,5026,,0,2000,7315.41,0,156,Piura,0,UNIVERSITARIA
0,0,FAMILIAR,31,4964,,4,3800,,0,192,Ica,0,TECNICA
0,0,FAMILIAR,26,4200,8,12,3929.72,6000,502.13,186,Loreto,0,TECNICA
0,0,FAMILIAR,50,4995,,2,6000,2802.74,19020.95,177,Junin,0,TECNICA
0,1,FAMILIAR,21,4315,12,12,1076.94,3900,3796.18,175,Lima,0,TECNICA
0,0,PROPIA,41,3687,8,10,2615.68,3500,1825.18,199,Lima,0,TECNICA
0,0,FAMILIAR,30,3779,6,11,850,675,2484.67,168,Lima,0,TECNICA
0,1,FAMILIAR,52,6031,,12,8000,2709.94,47869.37,197,Lambayeque,0,TECNICA
0,17,FAMILIAR,28,5694,47,0,2800,7324.16,0,175,Lima,2,UNIVERSITARIA
0,0,FAMILIAR,45,7612,,4,1053,541.21,0,168,Lima,1,UNIVERSITARIA
0,0,FAMILIAR,30,3899,10,12,1163.91,8871.27,32.05,168,Lima,0,TECNICA
0,0,FAMILIAR,54,3930,9,12,666.11,2673,4010.56,180,Piura,0,TECNICA
0,25,FAMILIAR,29,4052,11,9,1500,1500,423.93,177,Lima,1,TECNICA
0,2,FAMILIAR,35,3992,8,12,785.06,500,818.8,177,Lima,1,TECNICA
0,2,FAMILIAR,51,4385,12,12,900,,3672.76,180,Lima,0,TECNICA
0,2,FAMILIAR,29,4904,,12,905.76,350,1814.11,194,Lima,0,TECNICA
0,1,PROPIA,59,5605,9,12,2300,600,5195.7,230,Lima,0,TECNICA
0,2,PROPIA,41,4083,,12,950,,4444.3,218,Piura,0,TECNICA
0,0,FAMILIAR,22,3382,8,12,2100,900,3533.97,214,Callao,0,UNIVERSITARIA
0,25,FAMILIAR,23,4205,7,12,2100,1200,1412.51,174,Lima,1,UNIVERSITARIA
0,6,FAMILIAR,26,5452,,12,3000,2779.74,1815.53,215,Lima,0,UNIVERSITARIA
0,0,FAMILIAR,32,4052,,12,1779.79,,9389.79,173,Lima,0,TECNICA
0,0,FAMILIAR,30,5209,33,11,18000,13830.18,0,198,Lima,0,UNIVERSITARIA
0,1,FAMILIAR,32,3626,,12,940.79,1350.09,2835.34,175,Lima,0,TECNICA
0,25,FAMILIAR,26,4598,33,12,1434.7,6910.5,5500.23,171,Callao,1,TECNICA
0,0,FAMILIAR,29,4721,8,12,2600,1075.95,747.4,200,Lima,0,UNIVERSITARIA
0,0,PROPIA,40,9988,,0,3100,,0,204,Ancash,4,UNIVERSITARIA
0,0,PROPIA,46,5564,,1,900,4742.45,1610.13,172,Lambayeque,1,TECNICA
0,1,FAMILIAR,38,4233,,12,1097.38,1200,4562.13,179,Lima,1,TECNICA
0,0,FAMILIAR,26,4598,8,12,2300,6406.02,158.24,187,Lima,0,UNIVERSITARIA
0,0,FAMILIAR,31,4478,8,12,1300,1850,1471.32,176,Lima,0,UNIVERSITARIA
0,0,FAMILIAR,24,4356,10,12,3500,,0,179,Lima,0,TECNICA
0,20,PROPIA,42,5301,,12,2600,145.12,1316.08,207,Lima,2,TECNICA
0,0,FAMILIAR,29,4386,8,12,2100,863.39,89.83,200,Lima,0,UNIVERSITARIA
0,1,FAMILIAR,34,3930,11,12,2066.59,1000,5356.8,196,Ica,0,TECNICA
0,0,PROPIA,35,4144,,12,2168.83,1500,3874.39,213,La Libertad,0,TECNICA
0,23,FAMILIAR,36,4995,,1,1200,1840,1218.6,165,Lima,1,UNIVERSITARIA
0,9,PROPIA,38,5209,28,12,700,2595.06,1094.72,226,Lima,0,TECNICA
0,1,PROPIA,24,4052,,12,1119.98,,945.36,175,Lima,0,TECNICA
0,27,PROPIA,37,3534,,12,1700,,18711.03,194,Cajamarca,0,TECNICA
0,0,FAMILIAR,32,5878,11,12,1950,1760,5.29,180,Lima,0,TECNICA
0,33,FAMILIAR,36,6243,38,12,900,2414.65,0,177,Lima,2,TECNICA
0,0,PROPIA,24,4382,,12,1272.95,,4103.82,194,Callao,0,TECNICA
0,0,FAMILIAR,29,5056,14,1,1500,10485.64,502.97,165,Lima,0,UNIVERSITARIA
0,2,FAMILIAR,25,4935,16,12,1053.18,2400,1200,169,Callao,0,TECNICA
0,21,FAMILIAR,23,3960,17,12,2100,2113.17,3.96,206,Lima,1,TECNICA
0,2,FAMILIAR,23,4539,,12,2300,1573.6,0,181,Lima,0,UNIVERSITARIA
0,1,PROPIA,24,3899,20,12,2100,2080,2426.15,228,Lima,2,UNIVERSITARIA
0,0,FAMILIAR,28,4113,6,12,1400,2500,1810.82,185,Lima,0,UNIVERSITARIA
0,0,FAMILIAR,29,4113,15,12,4200,186.22,1075.17,200,Lima,0,UNIVERSITARIA
0,0,FAMILIAR,26,3483,,12,703.53,,2495.79,167,Lima,0,TECNICA
0,0,FAMILIAR,24,4021,,12,1200,,3789.55,156,Lima,0,TECNICA
0,1,PROPIA,39,3864,,12,880,,197.03,215,Lima,0,TECNICA
0,0,PROPIA,32,6821,,8,5000,242.23,9481.83,162,Lambayeque,0,TECNICA
0,0,FAMILIAR,37,4174,,12,3500,2924.86,0,202,Lima,0,UNIVERSITARIA
0,0,FAMILIAR,21,3718,9,11,2100,2176.56,771.21,207,Lima,2,UNIVERSITARIA
0,0,FAMILIAR,25,3347,,12,2500,,0,186,Junin,0,TECNICA
0,0,FAMILIAR,41,4386,104,12,3350,14223.57,3459.13,190,La Libertad,1,TECNICA
0,0,ALQUILADA,29,4935,,0,1860,,13201.17,167,La Libertad,0,TECNICA
0,2,FAMILIAR,44,4813,2,12,3476,,24592.29,205,Ancash,4,UNIVERSITARIA
0,3,FAMILIAR,25,5725,,11,6000,520.73,0,205,Lambayeque,1,TECNICA
0,0,FAMILIAR,29,3168,,12,694.41,886.68,1556.01,194,Lima,1,TECNICA
0,2,FAMILIAR,21,3612,,12,1504.31,,0,161,Lima,0,TECNICA
0,2,FAMILIAR,28,4367,,12,1812.8,,7697.47,177,La Libertad,0,TECNICA
0,2,FAMILIAR,26,4818,,12,964.62,,284.36,169,Tumbes,0,SECUNDARIA
0,6,FAMILIAR,34,10108,33,1,5039,461.21,19539.22,206,Piura,1,TECNICA
0,0,FAMILIAR,32,6396,15,0,4500,14940.16,60.3,163,Lima,0,SECUNDARIA
0,0,FAMILIAR,29,5301,24,0,3224.86,567.63,678.86,180,Apurimac,0,UNIVERSITARIA
0,23,FAMILIAR,35,5847,,12,1800,,3942.86,204,Piura,1,UNIVERSITARIA
0,0,PROPIA,47,4570,,12,3800,1790.97,1943.62,214,Lambayeque,0,SECUNDARIA
0,0,FAMILIAR,29,5360,,12,3200,5889.34,0,216,Lima,1,UNIVERSITARIA
0,0,FAMILIAR,30,3443,,12,8239,,23303.9,185,Cajamarca,0,TECNICA
0,0,FAMILIAR,36,4170,10,12,3150,1700,1637.81,197,Lima,4,UNIVERSITARIA
0,1,FAMILIAR,28,6456,9,11,2200,1107.42,1175.88,209,Lima,0,UNIVERSITARIA
0,1,FAMILIAR,55,3868,8,12,3686.3,8925,2764.72,211,Lima,2,TECNICA
0,1,FAMILIAR,26,4113,7,12,2278.38,1600,5458.23,206,Lima,0,UNIVERSITARIA
0,0,PROPIA,32,4629,9,12,3000,2107.77,3735.74,230,Moquegua,0,TECNICA
0,1,FAMILIAR,32,4205,,12,1000,460,3951.23,194,Lima,0,TECNICA
0,20,PROPIA,26,4721,38,12,2166.26,5338.84,0,191,Lima,1,TECNICA
0,0,FAMILIAR,24,3809,10,10,827.67,2800,1215.48,156,La Libertad,0,TECNICA
0,2,PROPIA,56,6762,,12,2690,,0,228,Junin,0,TECNICA
0,0,FAMILIAR,25,4083,11,12,2100,1500,1415.81,189,Callao,0,UNIVERSITARIA
0,0,FAMILIAR,41,5421,8,12,990,179.05,637.72,198,Lima,0,UNIVERSITARIA
0,0,FAMILIAR,48,7492,92,0,4000,11652.79,4929.23,202,Lima,0,TECNICA
0,13,FAMILIAR,41,4113,,12,1632.87,,1543.45,182,Lima,0,TECNICA
0,1,FAMILIAR,32,4300,9,12,964.17,2258.74,761.47,178,Lima,1,TECNICA
0,0,FAMILIAR,34,4263,,12,968,,1241.07,170,Cuzco,0,TECNICA
0,0,PROPIA,29,5544,46,2,6814,18752.45,0,214,Lima,0,UNIVERSITARIA
0,25,FAMILIAR,24,4721,41,12,2200,1423.15,552.96,200,Lima,2,TECNICA
0,0,FAMILIAR,24,4113,10,9,2100,410.12,408.67,176,Lambayeque,0,UNIVERSITARIA
0,0,FAMILIAR,26,3474,5,11,1495.09,,16688.92,174,La Libertad,0,TECNICA
0,1,FAMILIAR,31,4325,,12,1000,,1365.2,194,Callao,0,TECNICA
0,0,PROPIA,43,6456,41,12,8750,5817.84,4955.85,224,Junin,0,UNIVERSITARIA
0,25,FAMILIAR,32,7551,45,0,13000,730.92,0,199,Lima,0,UNIVERSITARIA
0,0,FAMILIAR,25,3990,,12,1424.68,,6462.92,171,Arequipa,0,TECNICA
0,0,FAMILIAR,31,3899,13,0,2100,1430.11,0,192,Lima,0,TECNICA
0,0,FAMILIAR,34,7704,8,8,1500,3754,355.82,188,Lambayeque,1,UNIVERSITARIA
0,9,FAMILIAR,42,6456,25,0,8000,10769.97,0,180,Lima,1,UNIVERSITARIA
0,0,FAMILIAR,30,4386,7,12,2000,9065.38,5233.5,200,Lima,0,UNIVERSITARIA
0,9,FAMILIAR,29,5760,,12,1107.6,1650,3025.91,175,Piura,1,TECNICA
0,0,FAMILIAR,23,3734,,12,1185.05,,4336.36,156,Puno,0,TECNICA
0,17,FAMILIAR,47,7551,,3,3000,13988.17,0,217,Lima,1,UNIVERSITARIA
0,9,FAMILIAR,40,4356,17,7,900,4845.56,0,207,Lambayeque,0,UNIVERSITARIA
0,19,PROPIA,29,4615,,12,2301.9,,1886.48,212,La Libertad,1,UNIVERSITARIA
0,0,PROPIA,27,4782,,12,2097.4,,0,211,Lima,0,TECNICA
0,0,FAMILIAR,31,4083,,12,908.5,2145.14,4168.6,175,Lima,0,TECNICA
0,1,PROPIA,26,4144,,12,664.37,,1951.27,188,Ayacucho,0,TECNICA
0,2,FAMILIAR,23,4448,3,12,1368.6,1727.25,5501.75,156,Piura,1,TECNICA
0,12,FAMILIAR,36,6090,30,12,2100,,9594.57,213,Lima,1,TECNICA
0,1,FAMILIAR,31,4598,,12,1500,,10229.82,170,Lima,0,TECNICA
0,5,FAMILIAR,48,6059,,12,1540,,57094.38,201,Lima,1,TECNICA
0,0,PROPIA,50,4052,,12,1182.72,,1093.67,199,La Libertad,0,TECNICA
0,0,FAMILIAR,27,6456,8,12,2100,1717.06,432.86,187,Lima,0,UNIVERSITARIA
0,0,FAMILIAR,28,3840,19,12,2100,1540,5656.79,205,Lima,0,TECNICA
0,0,FAMILIAR,38,4417,26,12,4500,866.76,0,197,Lima,0,UNIVERSITARIA
0,1,FAMILIAR,28,4113,,12,1450.38,3077.03,2007.64,175,Callao,3,TECNICA
0,0,FAMILIAR,43,6548,,12,1542.03,,9633.36,197,Junin,0,TECNICA
0,0,FAMILIAR,42,10931,39,0,3300,19.5,53.01,199,Pasco,0,UNIVERSITARIA
0,0,PROPIA,47,4935,,2,7586.26,,0,199,Lambayeque,0,UNIVERSITARIA
0,1,FAMILIAR,40,7186,,12,3290.22,4343.23,1739.58,197,Callao,1,TECNICA
0,0,FAMILIAR,32,3584,14,12,2500,4942.55,7568.56,200,Lambayeque,1,UNIVERSITARIA
0,2,FAMILIAR,29,3559,,11,2800,3667.1,1810.3,200,Lima,1,UNIVERSITARIA
0,0,FAMILIAR,23,3899,10,12,2100,1100,1049.98,181,Cuzco,0,UNIVERSITARIA
0,0,FAMILIAR,34,4690,35,12,1500,1084.9,2382.04,206,Lima,0,UNIVERSITARIA
